module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
compass,bmad-compass-implementation-research,Implementation Research,IR,"Targeted research for active implementation decisions",,--content,4-implementation,,,false,,
compass,bmad-compass-quick-spec,Quick Spec,QS,"Create implementation-ready quick tech specs for small changes or features",,--content,4-implementation,,,false,,
compass,bmad-compass-secure-gates,Secure Gates,SG,"Evaluate conditional security readiness and release gates for Compass slices",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-atdd,ATDD,AT,"Generate failing acceptance tests plus an implementation checklist before development",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-automate,Test Automation,TA,"Generate prioritized API/E2E tests, fixtures, and DoD summary for a story or feature",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-ci,CI Pipeline,CI,"Recommend and scaffold CI/CD quality pipeline",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-framework,Test Framework,TF,"Initialize production-ready test framework architecture",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-nfr-assess,NFR Assessment,NR,"Assess non-functional requirements and recommend actions",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-teach-me-testing,Teach Me Testing,TMT,"Interactive testing education through 7 progressive sessions",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-test-design,Test Design,TD,"Risk assessment plus coverage strategy for system or epic scope",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-test-review,Test Review,RV,"Perform a quality check against written tests using comprehensive knowledge base",,--content,4-implementation,,,false,,
compass,bmad-compass-testarch-trace,Traceability,TR,"Map requirements to tests and make quality gate decision",,--content,4-implementation,,,false,,
compass,bmad-agent-creative-problem-solver,Problem Solver,PSA,"Systematic problem-solving expert and solutions architect (Dr. Quinn persona)",,--content,anytime,,,false,,
compass,bmad-compass-advanced-elicitation,Advanced Elicitation,AE,"Push the LLM to reconsider, refine, and improve recent output through iterative elicitation methods",,--content,anytime,,,false,,
compass,bmad-compass-autonomous-refinement-loop,Autonomous Refinement Loop,ORL,"Run an autonomous agent-team refinement loop combining party-mode and advanced elicitation",,--content,anytime,,,false,,
compass,bmad-compass-problem-solving,Problem Solving,PS,"Apply systematic problem-solving methodologies to complex challenges",,--content,anytime,,,false,,
compass,bmad-compass-workflow-map,Workflow Map,WM,"Full ordered map of the Compass BMAD workflow showing every phase, step, required gates, optional lanes, and intentional repetitions",,--content,anytime,,,false,,
compass,bmad-compass-init-docs,Initialize Docs,DP,"Initialize Compass opinionated docs layout from existing project documentation",,--content,documentation,,,false,,
compass,bmad-compass-update-docs,Update Docs,DU,"Update documentation to reflect current planning and implementation state",,--content,documentation,,,false,,
compass,bmad-compass-validate-docs,Validate Docs,DV,"Validate documentation structure and policy compliance for Compass docs layout",,--content,documentation,,,false,,
compass,bmad-compass-initiative-routing,Initiative Routing,IRT,"Route an approved workspace or orchestration phase into concurrent repo-targeted initiative workstreams",,--content,planning,,,false,,
compass,bmad-compass-init-planning,Initialize Planning,IP,"Initialize Compass roadmap-driven planning layout from an existing repo or as a clean scaffold",,--content,planning,,,true,,
compass,bmad-compass-project-roadmap,Project Roadmap,PR,"Create or update the authoritative project roadmap from high-level analysis artifacts",,--content,planning,,,true,,
compass,bmad-compass-sync-repositories,Sync Repositories,SR,"Compare planning/repositories.yaml against the current repo-root topology and update the registry",,--content,planning,,,false,,
compass,bmad-compass-workspace-bootstrap,Workspace Bootstrap,WB,"Bootstrap selected repos from a workspace or orchestration root into the Compass BMAD structure",,--content,planning,,,false,,
