name,type,description,module,path
"bmad-compass-design-thinking","workflow","Guide human-centered design processes using empathy-driven methodologies. Use when the user says ""lets run design thinking""","compass","_bmad/compass/1-analysis/bmad-compass-design-thinking"
"bmad-compass-implementation-brainstorming","workflow","Focused brainstorming for active implementation work. Use when the user says ""brainstorm implementation options""","compass","_bmad/compass/4-implementation/bmad-compass-implementation-brainstorming"
"bmad-compass-implementation-research","workflow","Targeted research for active implementation decisions. Use when the user says ""research this implementation option""","compass","_bmad/compass/4-implementation/bmad-compass-implementation-research"
"bmad-compass-ingest-whitepapers","workflow","Ingest external whitepapers into a condensed digest for downstream BMAD workflows. Use when the user says ""ingest whitepapers""","compass","_bmad/compass/1-analysis/bmad-compass-ingest-whitepapers"
"bmad-compass-init-docs","workflow","Initialize Compass opinionated docs layout from existing project documentation. Use when the user says ""initialize docs"", ""migrate docs"", or ""set up docs structure"".","compass","_bmad/compass/documentation/bmad-compass-init-docs"
"bmad-compass-init-planning","workflow","Initialize Compass roadmap-driven planning layout from an existing repo or as a clean scaffold. Use when the user says ""initialize planning"", ""set up planning"", or ""migrate planning structure"".","compass","_bmad/compass/planning/bmad-compass-init-planning"
"bmad-compass-initiative-routing","workflow","Route an approved workspace or orchestration phase into concurrent repo-targeted initiative workstreams. Use after Phase Sync when execution scope is workspace or orchestration.","compass","_bmad/compass/planning/bmad-compass-initiative-routing"
"bmad-compass-innovation-strategy","workflow","Identify disruption opportunities and architect business model innovation. Use when the user says ""lets create an innovation strategy""","compass","_bmad/compass/1-analysis/bmad-compass-innovation-strategy"
"bmad-compass-outline-scenarios","workflow","Transform Trigger Maps into UX scenario outlines. Use when the user says ""outline scenarios""","compass","_bmad/compass/2-plan-workflows/bmad-compass-outline-scenarios"
"bmad-compass-oversight-checkpoint","workflow","Generate a verification report from the oversight risk and assumption registers. Use at gate approvals and story completion to surface unreviewed items.","compass","_bmad/compass/0-governance/bmad-compass-oversight-checkpoint"
"bmad-compass-phase-closeout","workflow","Close the active phase and archive artifacts into previous/ with lessons capture and roadmap updates. Use when the user says ""close this phase"" or ""run phase closeout"".","compass","_bmad/compass/0-governance/bmad-compass-phase-closeout"
"bmad-compass-phase-sync","workflow","Select and sync the active roadmap slice in planning/current/phase.md and phase-state.yaml. Use when the user says ""sync phase"", ""select the next phase"", ""update phase goals"", or ""check phase metadata"".","compass","_bmad/compass/0-governance/bmad-compass-phase-sync"
"bmad-compass-problem-solving","workflow","Apply systematic problem-solving methodologies to complex challenges. Use when the user says ""guide me through structured problem solving""","compass","_bmad/compass/anytime/bmad-compass-problem-solving"
"bmad-compass-project-roadmap","workflow","Create or update the authoritative project roadmap from high-level analysis artifacts. Use when the user says ""build the roadmap"", ""update the roadmap"", or ""set the current phase"".","compass","_bmad/compass/planning/bmad-compass-project-roadmap"
"bmad-compass-quick-spec","workflow","Create implementation-ready quick tech specs for small changes or features. Use when the user says ""quick spec""","compass","_bmad/compass/4-implementation/bmad-compass-quick-spec"
"bmad-compass-secure-gates","workflow","Evaluate conditional security readiness and release gates for Compass slices. Use when the user says ""secure gates""","compass","_bmad/compass/4-implementation/bmad-compass-secure-gates"
"bmad-compass-security-architecture-review","workflow","Comprehensive security analysis of system architecture using STRIDE, control assessment, and zero-trust principles. Use when the user says ""run security architecture review""","compass","_bmad/compass/3-solutioning/bmad-compass-security-architecture-review"
"bmad-compass-sync-repositories","workflow","Compare planning/repositories.yaml against the current repo-root topology and update the canonical registry after approval. Use when repos are added, removed, moved, or missed.","compass","_bmad/compass/planning/bmad-compass-sync-repositories"
"bmad-compass-testarch-atdd","workflow","ATDD test specification. Use when the user says ""lets write acceptance tests""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-atdd"
"bmad-compass-testarch-automate","workflow","Test automation scaffolding. Use when the user says ""lets expand test coverage""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-automate"
"bmad-compass-testarch-ci","workflow","CI pipeline integration. Use when the user says ""lets setup CI pipeline""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-ci"
"bmad-compass-testarch-framework","workflow","Test framework setup. Use when the user says ""lets setup test framework""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-framework"
"bmad-compass-testarch-nfr-assess","workflow","NFR assessment. Use when the user says ""lets assess NFRs""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-nfr-assess"
"bmad-compass-testarch-teach-me-testing","workflow","Interactive testing education. Use when the user says ""lets learn testing""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-teach-me-testing"
"bmad-compass-testarch-test-design","workflow","Test design strategy. Use when the user says ""lets design test plan""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-test-design"
"bmad-compass-testarch-test-review","workflow","Test review and quality. Use when the user says ""lets review tests""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-test-review"
"bmad-compass-testarch-trace","workflow","Requirements traceability. Use when the user says ""lets create traceability matrix""","compass","_bmad/compass/4-implementation/bmad-compass-testarch-trace"
"bmad-compass-threat-modeling","workflow","STRIDE-based threat modeling for identifying, assessing, and mitigating security threats. Use when the user says ""run threat modeling""","compass","_bmad/compass/3-solutioning/bmad-compass-threat-modeling"
"bmad-compass-trigger-mapping","workflow","Effect Mapping workshop connecting business goals to user psychology. Use when the user says ""trigger mapping""","compass","_bmad/compass/2-plan-workflows/bmad-compass-trigger-mapping"
"bmad-compass-update-docs","workflow","Update documentation to reflect current planning and implementation state. Use when the user says ""update docs"" or after major phase checkpoints.","compass","_bmad/compass/documentation/bmad-compass-update-docs"
"bmad-compass-validate-docs","workflow","Validate documentation structure and policy compliance for Compass docs layout. Use when the user says ""validate docs"" or before phase closeout/release.","compass","_bmad/compass/documentation/bmad-compass-validate-docs"
"bmad-compass-vtc-workshop","workflow","Facilitate Vision-Traction-Clarity workshop connecting business goals to user needs. Use when the user says ""vtc workshop""","compass","_bmad/compass/1-analysis/bmad-compass-vtc-workshop"
"bmad-compass-wds-ux-design","workflow","Create WDS UX specifications through scenario-driven design. Use when the user says ""wds ux design""","compass","_bmad/compass/2-plan-workflows/bmad-compass-wds-ux-design"
"bmad-compass-workflow-map","workflow","Full ordered map of the Compass BMAD workflow. Use when user wants to see the complete methodology, understand the full process, needs a bird''s-eye view of all phases and steps, or asks about what runs when.","compass","_bmad/compass/anytime/bmad-compass-workflow-map"
"bmad-compass-workspace-bootstrap","workflow","Bootstrap selected repos from a workspace or orchestration root into the Compass BMAD planning and docs structure. Use when the user says ""bootstrap the workspace"", ""initialize selected repos"", or ""set up missed repos from the top level"".","compass","_bmad/compass/planning/bmad-compass-workspace-bootstrap"
"bmad-advanced-elicitation","workflow","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","core","_bmad/core/bmad-advanced-elicitation"
"bmad-brainstorming","workflow","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_bmad/core/bmad-brainstorming"
"bmad-distillator","workflow","Lossless LLM-optimized compression of source documents. Use when the user requests to 'distill documents' or 'create a distillate'.","core","_bmad/core/bmad-distillator"
"bmad-editorial-review-prose","workflow","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","core","_bmad/core/bmad-editorial-review-prose"
"bmad-editorial-review-structure","workflow","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","core","_bmad/core/bmad-editorial-review-structure"
"bmad-help","workflow","Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad.","core","_bmad/core/bmad-help"
"bmad-index-docs","workflow","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","core","_bmad/core/bmad-index-docs"
"bmad-master","agent","BMad Master orchestrator — runtime resource management, workflow orchestration, task execution, and knowledge custodian. Use when the user wants to start a BMad session or talk to the BMad Master.","core","_bmad/core/bmad-master"
"bmad-party-mode","workflow","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_bmad/core/bmad-party-mode"
"bmad-review-adversarial-general","workflow","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core","_bmad/core/bmad-review-adversarial-general"
"bmad-review-edge-case-hunter","workflow","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","core","_bmad/core/bmad-review-edge-case-hunter"
"bmad-shard-doc","workflow","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_bmad/core/bmad-shard-doc"
